Unnamed: 0,neighbourhood_group_cleansed,neighbourhood_cleansed,median_price,mean_price,listings,Latitude,Longitude
42,Bronx,University Heights,138.0,131.4,5,40.8601,-73.909303
119,Manhattan,Roosevelt Island,140.0,173.3,23,40.7613367,-73.9502853
173,Queens,South Ozone Park,141.5,161.35,54,40.6701035,-73.8190231
32,Bronx,Pelham Bay,143.0,136.33,9,40.8505556,-73.8333333
174,Queens,Springfield Gardens,143.5,157.57,94,40.678159,-73.746521
129,Queens,Arverne,144.0,237.1,69,40.5934173,-73.7895462
162,Queens,Long Island City,149.0,172.73,243,40.7455316,-73.9484995
53,Brooklyn,Bergen Beach,150.0,194.8,15,40.6203822,-73.9068033
111,Manhattan,Little Italy,150.0,210.19,75,40.7192728,-73.9982152
84,Brooklyn,Mill Basin,153.0,197.71,14,40.6098105,-73.9075894
45,Bronx,West Farms,153.0,150.25,4,40.8398226,-73.8776356
75,Brooklyn,Fort Greene,155.0,181.32,139,40.6907711,-73.9766245
157,Queens,Jamaica Hills,155.5,272.38,16,40.7128,-73.7992
99,Manhattan,Chinatown,156.0,194.32,183,40.7163793,-73.9962641
85,Brooklyn,Navy Yard,156.5,156.5,2,40.7019,-73.9689
95,Brooklyn,Williamsburg,157.0,200.61,851,40.714622,-73.95345
87,Brooklyn,Prospect Heights,158.0,207.21,86,40.6778708,-73.9684725
205,Staten Island,Prince's Bay,159.0,303.17,6,40.525526,-74.2000583
164,Queens,Middle Village,159.5,181.44,16,40.7179844,-73.8788075
96,Brooklyn,Windsor Terrace,160.0,176.42,55,40.653487,-73.977196
105,Manhattan,Gramercy,162.0,240.86,164,40.7355189,-73.9840794
92,Brooklyn,South Slope,162.0,186.9,88,40.6604004,-73.9944088
187,Staten Island,Dongan Hills,162.0,166.0,3,40.588438,-74.0962528
78,Brooklyn,Gowanus,165.0,236.49,84,40.6791695,-73.9885041
125,Manhattan,Upper East Side,170.0,217.29,1013,40.7743831,-73.9646405
112,Manhattan,Lower East Side,170.0,224.09,337,40.7159357,-73.9868057
203,Staten Island,Oakwood,175.0,175.0,1,40.5639366,-74.1163373
69,Brooklyn,Downtown Brooklyn,175.0,211.21,39,40.6915721,-73.9867644
86,Brooklyn,Park Slope,177.0,228.03,160,40.6701033,-73.9859723
108,Manhattan,Hell's Kitchen,178.0,229.25,1031,40.7644228,-73.9923918
102,Manhattan,East Village,180.0,236.11,484,40.7292494,-73.9872412
38,Bronx,Spuyten Duyvil,180.0,175.8,5,40.8811676,-73.917279
126,Manhattan,Upper West Side,181.0,231.11,910,40.7870455,-73.9754163
62,Brooklyn,Clinton Hill,181.5,227.6,178,40.6897222,-73.9652778
197,Staten Island,Lighthouse Hill,185.0,185.0,2,40.5735,-74.1343
134,Queens,Belle Harbor,187.0,200.0,7,40.5767844,-73.8478287
104,Manhattan,Flatiron District,192.0,234.86,42,40.7410722,-73.9896534
110,Manhattan,Kips Bay,196.0,228.05,262,40.7395463,-73.9770832
80,Brooklyn,Greenpoint,200.0,224.62,291,40.7237134,-73.9509714
89,Brooklyn,Red Hook,200.0,208.22,27,40.677,-74.011
98,Manhattan,Chelsea,200.5,267.44,512,40.7464906,-74.0015283
116,Manhattan,Murray Hill,201.0,272.59,325,40.7481574,-73.97875
61,Brooklyn,Carroll Gardens,203.0,272.03,75,40.6784201,-73.9948021
219,Staten Island,Willowbrook,210.0,210.0,1,40.6031598,-74.1384762
118,Manhattan,Nolita,211.0,272.27,103,40.7229886,-73.994558
77,Brooklyn,Gerritsen Beach,233.5,233.5,2,40.5929879,-73.9263853
63,Brooklyn,Cobble Hill,235.0,278.41,27,40.687547,-73.9973352
57,Brooklyn,Brooklyn Heights,239.5,262.22,46,40.6960849,-73.9950297
54,Brooklyn,Boerum Hill,250.0,293.71,65,40.6856261,-73.9841707
68,Brooklyn,DUMBO,254.0,288.56,18,40.7029052,-73.990118
114,Manhattan,Midtown,255.5,315.32,1402,40.7551169,-73.98478
103,Manhattan,Financial District,266.0,302.14,339,40.7076681,-74.009271
100,Manhattan,Civic Center,279.5,284.62,8,40.7136793,-74.0024042
64,Brooklyn,Columbia St,282.0,331.2,5,40.6728376,-74.0085534
152,Queens,Holliswood,289.5,289.5,2,40.7189641,-73.764678
194,Staten Island,Grymes Hill,295.0,242.0,3,40.6187152,-74.0934751
128,Manhattan,West Village,297.0,321.55,217,40.7342364,-74.0056259
120,Manhattan,SoHo,307.0,392.01,151,40.72288,-73.9987505
165,Queens,Neponsit,317.5,317.5,2,40.5728732,-73.8601961
106,Manhattan,Greenwich Village,333.0,375.85,73,40.7321522,-73.9964093
97,Manhattan,Battery Park City,344.0,386.63,35,40.7110166,-74.0169369
122,Manhattan,Theater District,345.0,363.35,277,40.7579801,-73.9855452
94,Brooklyn,Vinegar Hill,362.0,351.78,18,40.702,-73.981
123,Manhattan,Tribeca,381.0,428.25,100,40.7153802,-74.0093063
117,Manhattan,NoHo,529.0,565.83,18,40.7258746,-73.9939566
190,Staten Island,Fort Wadsworth,600.0,600.0,1,40.6008724,-74.0576716
